[11/15/22 09:34AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 09:56AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:21AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:21AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:22AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:22AM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 11:22AM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[11/15/22 12:01PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:09PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:14PM] Logout with password lolLogout from host 127.0.0.1, serial number: null000, mac address:null000	
[12/15/22 09:14PM] Login from host 127.0.0.1, serial number: null000, mac address:null000	
